date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
18:48:18	2901/2901	---M--	200	added ('OK')	image/gif	date:Sat,%2020%20Aug%202005%2010:35:45%20GMT	inuyasha.yoll.net/images/shichi/gks/title.gif	D:/InuYasha%20Scripts/inuyasha/inuyasha.yoll.net/images/shichi/gks/title.gif	(from inuyasha.yoll.net/images/shichi/gks.htm)
18:48:19	3425/3425	---M--	200	added ('OK')	image/jpeg	date:Sat,%2020%20Aug%202005%2010:47:13%20GMT	inuyasha.yoll.net/images/shichi/kks/kyokotsu.jpg	D:/InuYasha%20Scripts/inuyasha/inuyasha.yoll.net/images/shichi/kks/kyokotsu.jpg	(from inuyasha.yoll.net/images/shichi/kks.htm)
18:48:19	2419/2419	---M--	200	added ('OK')	image/gif	date:Sat,%2020%20Aug%202005%2010:51:09%20GMT	inuyasha.yoll.net/images/shichi/mks/mukotsu.gif	D:/InuYasha%20Scripts/inuyasha/inuyasha.yoll.net/images/shichi/mks/mukotsu.gif	(from inuyasha.yoll.net/images/shichi/mks.htm)
18:48:19	3168/3168	---M--	200	added ('OK')	image/gif	date:Sat,%2020%20Aug%202005%2010:51:57%20GMT	inuyasha.yoll.net/images/shichi/mks/title.gif	D:/InuYasha%20Scripts/inuyasha/inuyasha.yoll.net/images/shichi/mks/title.gif	(from inuyasha.yoll.net/images/shichi/mks.htm)
18:48:20	2833/2833	---M--	200	added ('OK')	image/gif	date:Sat,%2020%20Aug%202005%2010:58:55%20GMT	inuyasha.yoll.net/images/shichi/rks/title.gif	D:/InuYasha%20Scripts/inuyasha/inuyasha.yoll.net/images/shichi/rks/title.gif	(from inuyasha.yoll.net/images/shichi/rks.htm)
18:48:20	2657/2657	---M--	200	added ('OK')	image/gif	date:Sat,%2020%20Aug%202005%2010:58:11%20GMT	inuyasha.yoll.net/images/shichi/rks/renkotsu.gif	D:/InuYasha%20Scripts/inuyasha/inuyasha.yoll.net/images/shichi/rks/renkotsu.gif	(from inuyasha.yoll.net/images/shichi/rks.htm)
18:48:21	4216/4216	---M--	200	added ('OK')	image/gif	date:Sat,%2020%20Aug%202005%2011:05:13%20GMT	inuyasha.yoll.net/images/shichi/shin/shintitle.gif	D:/InuYasha%20Scripts/inuyasha/inuyasha.yoll.net/images/shichi/shin/shintitle.gif	(from inuyasha.yoll.net/images/shichi/shin.htm)
18:48:21	7053/7053	---M--	200	added ('OK')	image/jpeg	date:Sat,%2020%20Aug%202005%2011:03:46%20GMT	inuyasha.yoll.net/images/shichi/shin/shin1.jpg	D:/InuYasha%20Scripts/inuyasha/inuyasha.yoll.net/images/shichi/shin/shin1.jpg	(from inuyasha.yoll.net/images/shichi/shin.htm)
18:48:21	6164/6164	---M--	200	added ('OK')	image/jpeg	date:Sat,%2020%20Aug%202005%2011:04:03%20GMT	inuyasha.yoll.net/images/shichi/shin/shin3.jpg	D:/InuYasha%20Scripts/inuyasha/inuyasha.yoll.net/images/shichi/shin/shin3.jpg	(from inuyasha.yoll.net/images/shichi/shin.htm)
18:48:22	3591/3591	---M--	200	added ('OK')	image/jpeg	date:Sat,%2020%20Aug%202005%2011:01:33%20GMT	inuyasha.yoll.net/images/shichi/shin/behead.jpg	D:/InuYasha%20Scripts/inuyasha/inuyasha.yoll.net/images/shichi/shin/behead.jpg	(from inuyasha.yoll.net/images/shichi/shin.htm)
18:48:22	13735/13735	---M--	200	added ('OK')	text/html	date:Sat,%2020%20Aug%202005%2010:32:37%20GMT	inuyasha.yoll.net/images/shichi/bks/weapon.htm	D:/InuYasha%20Scripts/inuyasha/inuyasha.yoll.net/images/shichi/bks/weapon.htm	(from inuyasha.yoll.net/images/shichi/bks.htm)
18:48:22	4195/4195	---M--	200	added ('OK')	image/jpeg	date:Sat,%2020%20Aug%202005%2011:01:50%20GMT	inuyasha.yoll.net/images/shichi/shin/b_naraku.jpg	D:/InuYasha%20Scripts/inuyasha/inuyasha.yoll.net/images/shichi/shin/b_naraku.jpg	(from inuyasha.yoll.net/images/shichi/shin.htm)
18:48:23	8400/8400	---M--	200	added ('OK')	image/jpeg	date:Sat,%2020%20Aug%202005%2011:03:29%20GMT	inuyasha.yoll.net/images/shichi/shin/grave.jpg	D:/InuYasha%20Scripts/inuyasha/inuyasha.yoll.net/images/shichi/shin/grave.jpg	(from inuyasha.yoll.net/images/shichi/shin.htm)
18:48:23	7930/7930	---M--	200	added ('OK')	image/jpeg	date:Sat,%2020%20Aug%202005%2011:04:21%20GMT	inuyasha.yoll.net/images/shichi/shin/shincom1.jpg	D:/InuYasha%20Scripts/inuyasha/inuyasha.yoll.net/images/shichi/shin/shincom1.jpg	(from inuyasha.yoll.net/images/shichi/shin.htm)
18:48:24	5017/5017	---M--	200	added ('OK')	image/jpeg	date:Sat,%2020%20Aug%202005%2011:04:56%20GMT	inuyasha.yoll.net/images/shichi/shin/shincom3.jpg	D:/InuYasha%20Scripts/inuyasha/inuyasha.yoll.net/images/shichi/shin/shincom3.jpg	(from inuyasha.yoll.net/images/shichi/shin.htm)
18:48:25	2631/2631	---M--	200	added ('OK')	image/jpeg	date:Sat,%2020%20Aug%202005%2011:03:10%20GMT	inuyasha.yoll.net/images/shichi/shin/card4s.jpg	D:/InuYasha%20Scripts/inuyasha/inuyasha.yoll.net/images/shichi/shin/card4s.jpg	(from inuyasha.yoll.net/images/shichi/shin.htm)
18:48:25	15426/15426	---M--	200	added ('OK')	text/html	date:Sat,%2020%20Aug%202005%2010:32:05%20GMT	inuyasha.yoll.net/images/shichi/bks/moments.htm	D:/InuYasha%20Scripts/inuyasha/inuyasha.yoll.net/images/shichi/bks/moments.htm	(from inuyasha.yoll.net/images/shichi/bks.htm)
